subj_id	Word	Start_time	End_time	Confidence
65c25cf77dca9d7ca7d9ebdb	toes	1.5	3.2	0.896948516368866
65c25cf77dca9d7ca7d9ebdb	fingers	3.2	3.4	0.896948516368866
65c25cf77dca9d7ca7d9ebdb	wrists	3.4	3.9	0.896948516368866
65c25cf77dca9d7ca7d9ebdb	wrists	3.9	5.0	0.896948516368866
65c25cf77dca9d7ca7d9ebdb	forearms	5.0	5.7	0.896948516368866
65c25cf77dca9d7ca7d9ebdb	bicep	5.7	7.2	0.896948516368866
65c25cf77dca9d7ca7d9ebdb	tricep	7.2	7.9	0.896948516368866
65c25cf77dca9d7ca7d9ebdb	delts	7.9	8.4	0.896948516368866
65c25cf77dca9d7ca7d9ebdb	traps	9.8	10.8	0.7404817342758179
65c25cf77dca9d7ca7d9ebdb	glutes	12.8	14.6	0.7404817342758179
65c25cf77dca9d7ca7d9ebdb	quadriceps	14.6	16.0	0.7404817342758179
65c25cf77dca9d7ca7d9ebdb	calves	17.4	17.9	0.646697998046875
65c25cf77dca9d7ca7d9ebdb	abdominals	20.3	22.7	0.8018078207969666
65c25cf77dca9d7ca7d9ebdb	abductors	23.1	24.5	1.0
65c25cf77dca9d7ca7d9ebdb	pecks	28.8	29.8	1.0
65c25cf77dca9d7ca7d9ebdb	ears	32.0	33.9	0.8845021724700928
65c25cf77dca9d7ca7d9ebdb	eyes	33.9	34.6	0.8845021724700928
65c25cf77dca9d7ca7d9ebdb	nose	34.6	34.7	0.8845021724700928
65c25cf77dca9d7ca7d9ebdb	face	34.7	36.9	0.8845021724700928
65c25cf77dca9d7ca7d9ebdb	legs	39.7	40.2	0.6357573866844177
65c25cf77dca9d7ca7d9ebdb	feet	40.2	41.6	0.6357573866844177
65c25cf77dca9d7ca7d9ebdb	toenails	45.7	46.4	0.6719239950180054
65c25cf77dca9d7ca7d9ebdb	finger nails	46.4	46.6	0.6719239950180054
65c25cf77dca9d7ca7d9ebdb	head	52.2	52.9	0.5267689228057861
65c25cf77dca9d7ca7d9ebdb	torso	52.9	54.5	0.5267689228057861
65c25cf77dca9d7ca7d9ebdb	mouth	61.8	62.8	0.4927865564823151
65c25cf77dca9d7ca7d9ebdb	tongue	63.9	64.7	0.4927865564823151
65c25cf77dca9d7ca7d9ebdb	nostrils	67.0	68.4	0.5781359076499939
65c25cf77dca9d7ca7d9ebdb	teeth	74.2	75.2	0.5781359076499939
65c25cf77dca9d7ca7d9ebdb	knuckles	81.2	82.2	0.5673707723617554
65c25cf77dca9d7ca7d9ebdb	clavicle	82.2	83.0	0.5673707723617554
65c25cf77dca9d7ca7d9ebdb	ankle 	84.7	85.5	0.5176177024841309
