subj_id	Word	Start_time	End_time	Confidence
65c25cf77dca9d7ca7d9ebdb	microwaves	1.8	3.7	0.5474298596382141
65c25cf77dca9d7ca7d9ebdb	fridge	4.6	5.4	0.9367414712905884
65c25cf77dca9d7ca7d9ebdb	freezer	5.4	6.5	0.9367414712905884
65c25cf77dca9d7ca7d9ebdb	toaster	7.8	8.6	0.9161632657051086
65c25cf77dca9d7ca7d9ebdb	stove	8.6	10.2	0.9161632657051086
65c25cf77dca9d7ca7d9ebdb	oven	10.2	11.0	0.9161632657051086
65c25cf77dca9d7ca7d9ebdb	air fryer	12.6	13.6	0.7840868234634399
65c25cf77dca9d7ca7d9ebdb	mixer	15.0	15.8	0.3312820494174957
65c25cf77dca9d7ca7d9ebdb	coffee machine	18.0	19.3	0.8363499045372009
65c25cf77dca9d7ca7d9ebdb	cutting board	34.6	35.4	0.5247309803962708
65c25cf77dca9d7ca7d9ebdb	ice maker	38.3	39.4	0.6025038361549377
65c25cf77dca9d7ca7d9ebdb	rice cooker	49.7	50.7	0.9876290559768677
65c25cf77dca9d7ca7d9ebdb	steamer	56.0	56.9	0.490818589925766
65c25cf77dca9d7ca7d9ebdb	fryer	60.6	61.3	0.9611221551895142
65c25cf77dca9d7ca7d9ebdb	dishwasher	94.0	95.0	0.9685218930244446
65c25cf77dca9d7ca7d9ebdb	sink	98.3	99.1	0.2840687334537506
65c25cf77dca9d7ca7d9ebdb	humidifier	116.7	119.4	0.5359112024307251
65cb63e160bb47fbf9349269	oven	2.8	3.5	0.9686346054077148
65cb63e160bb47fbf9349269	microwave	3.5	4.8	0.9686346054077148
65cb63e160bb47fbf9349269	fridge	4.8	6.3	0.9686346054077148
65cb63e160bb47fbf9349269	coffee maker	6.3	8.1	0.9686346054077148
65cb63e160bb47fbf9349269	mixers	12.8	13.7	0.8501827120780945
65cb63e160bb47fbf9349269	ovens	22.2	23.1	0.9167627692222595
65cb63e160bb47fbf9349269	toaster ovens	25.1	26.4	0.9743127822875977
65cb63e160bb47fbf9349269	toasters	26.4	27.3	0.9743127822875977
65cb63e160bb47fbf9349269	washing machine	35.9	37.2	0.9006363153457642
65cb63e160bb47fbf9349269	drawing machine	37.2	38.0	0.9006363153457642
65cb63e160bb47fbf9349269	dishwasher	59.8	60.8	0.9769045114517212
65cb63e160bb47fbf9349269	stove fan	71.9	73.1	0.3809574544429779
65d54b3b524fcafb543d1b23	stove top	1.0	3.2	0.6947684288024902
65d54b3b524fcafb543d1b23	oven	3.2	4.6	0.6947684288024902
65d54b3b524fcafb543d1b23	air fryer oven	4.6	6.5	0.6947684288024902
65d54b3b524fcafb543d1b23	air fryer	7.6	8.4	0.8948326110839844
65d54b3b524fcafb543d1b23	microwave	8.4	9.9	0.8948326110839844
65d54b3b524fcafb543d1b23	sink	15.9	16.7	0.885714590549469
65d54b3b524fcafb543d1b23	laundry washer	19.5	21.4	0.9712285399436951
65d54b3b524fcafb543d1b23	dryer	22.2	22.6	0.9712285399436951
65d54b3b524fcafb543d1b23	TV	28.1	29.1	0.9243680238723755
