subj_id	Word	Start_time	End_time	Confidence
65e862f844f1b7a803bb3c5a	scissors	9.0	10.0	0.895997941493988
65e862f844f1b7a803bb3c5a	axe	11.6	12.4	0.4276754856109619
65e862f844f1b7a803bb3c5a	thermometer	12.4	14.7	0.4276754856109619
65e862f844f1b7a803bb3c5a	cutting board	17.4	18.4	0.7971202731132507
65e862f844f1b7a803bb3c5a	can opener	21.7	22.4	0.5245453119277954
65e862f844f1b7a803bb3c5a	armor	23.9	24.6	0.6122486591339111
65e862f844f1b7a803bb3c5a	screwdriver	26.1	27.1	0.6631171703338623
65e862f844f1b7a803bb3c5a	chisel	27.1	28.6	0.6631171703338623
65e862f844f1b7a803bb3c5a	measuring cups	29.7	31.0	0.9727128744125366
65e862f844f1b7a803bb3c5a	colander	32.3	34.5	0.4961333572864532
65e862f844f1b7a803bb3c5a	driller	37.3	38.1	0.630126953125
65e862f844f1b7a803bb3c5a	forks	39.2	40.1	0.8685047030448914
65e862f844f1b7a803bb3c5a	gloves	41.1	41.9	0.7417724132537842
65e862f844f1b7a803bb3c5a	knives	41.9	42.9	0.7417724132537842
65e862f844f1b7a803bb3c5a	baking dish	42.9	44.3	0.7417724132537842
65e862f844f1b7a803bb3c5a	mixing bowl	45.3	46.5	0.7417724132537842
65e862f844f1b7a803bb3c5a	peeler	46.8	47.4	1.0
65e862f844f1b7a803bb3c5a	shovel	48.8	49.6	0.5186228156089783
65e862f844f1b7a803bb3c5a	tongues	49.6	51.1	0.5186228156089783
65e862f844f1b7a803bb3c5a	trowel	51.1	52.6	0.5186228156089783
65e862f844f1b7a803bb3c5a	flashlight	55.4	56.3	0.9243682622909546
65e862f844f1b7a803bb3c5a	measuring tape	58.2	59.4	0.9876290559768677
65e862f844f1b7a803bb3c5a	saw	62.8	63.4	0.8593856692314148
65e862f844f1b7a803bb3c5a	soldering iron	68.9	69.8	0.9808120727539062
65e862f844f1b7a803bb3c5a	chainsaw	73.4	74.2	0.8056080937385559
65e862f844f1b7a803bb3c5a	nail gun	74.2	75.3	0.8056080937385559
65e862f844f1b7a803bb3c5a	wrench	76.5	77.3	0.5262705683708191
65e862f844f1b7a803bb3c5a	pliers	78.7	79.5	0.6071621775627136
65e862f844f1b7a803bb3c5a	mallet	81.7	82.5	0.5669814944267273
65e862f844f1b7a803bb3c5a	scraper	84.0	84.9	0.5417702794075012
65e862f844f1b7a803bb3c5a	hatchet	87.7	88.6	0.625627875328064
65e862f844f1b7a803bb3c5a	bolt	90.0	90.9	0.8175919651985168
65e862f844f1b7a803bb3c5a	screw	90.9	92.4	0.8175919651985168
65e862f844f1b7a803bb3c5a	knot	94.0	94.8	0.6522109508514404
65e862f844f1b7a803bb3c5a	nail	96.5	97.0	0.787299394607544
65e862f844f1b7a803bb3c5a	spade	99.7	100.6	0.3121952414512634
65e862f844f1b7a803bb3c5a	shovel	101.7	102.6	0.6097315549850464
65e862f844f1b7a803bb3c5a	lawn mower	106.6	107.5	0.8972536325454712
65e862f844f1b7a803bb3c5a	pruning shears	107.5	108.9	0.8972536325454712
65e862f844f1b7a803bb3c5a	step ladder	117.0	117.9	0.9432847499847412
63ea4ab1ce4168cbe9f63775	hammer	2.0	3.9	0.775762677192688
63ea4ab1ce4168cbe9f63775	hand saw	5.6	6.4	0.8387010097503662
63ea4ab1ce4168cbe9f63775	Zaza	7.5	8.1	0.9243825674057007
63ea4ab1ce4168cbe9f63775	wrench	10.1	10.9	0.7849239110946655
63ea4ab1ce4168cbe9f63775	ratchet	12.2	13.2	0.9587922096252441
63ea4ab1ce4168cbe9f63775	allen wrench	15.3	16.7	0.9738504886627197
63ea4ab1ce4168cbe9f63775	screwdriver	18.8	20.0	0.917203426361084
63ea4ab1ce4168cbe9f63775	Phillips head screwdriver	21.4	22.8	0.9366263747215271
63ea4ab1ce4168cbe9f63775	drill	27.9	28.7	0.9515032768249512
63ea4ab1ce4168cbe9f63775	hole punch	30.8	31.7	0.9509900212287903
63ea4ab1ce4168cbe9f63775	nail gun	34.5	35.7	0.9233548641204834
63ea4ab1ce4168cbe9f63775	pressurized hammer	39.2	40.9	0.7016492486000061
63ea4ab1ce4168cbe9f63775	automatic wrench	51.6	54.2	0.9253986477851868
63ea4ab1ce4168cbe9f63775	Vise grip	57.2	58.5	0.8536772727966309
63ea4ab1ce4168cbe9f63775	table saw	60.5	61.7	0.9586695432662964
63ea4ab1ce4168cbe9f63775	jigsaw	63.3	64.2	0.9230075478553772
63ea4ab1ce4168cbe9f63775	circular saw	65.9	67.8	0.9866583347320557
63ea4ab1ce4168cbe9f63775	pliers	75.3	76.3	0.8498958945274353
63ea4ab1ce4168cbe9f63775	wire cutters	77.8	79.3	0.8826402425765991
63ea4ab1ce4168cbe9f63775	Swiss Army knife	83.4	85.8	0.9734575152397156
63ea4ab1ce4168cbe9f63775	pocket knife	87.6	88.6	0.8502291440963745
63ea4ab1ce4168cbe9f63775	box cutter	93.8	94.9	1.0
63ea4ab1ce4168cbe9f63775	stud finder	99.1	100.5	0.9876290559768677
63ea4ab1ce4168cbe9f63775	level	105.8	106.6	0.7742621898651123
63ea4ab1ce4168cbe9f63775	laser level	109.0	110.7	0.9876290559768677
63ea4ab1ce4168cbe9f63775	putty knife	112.5	113.2	1.0
63ea4ab1ce4168cbe9f63775	sand block	115.4	116.7	0.9379968047142029
65d6a09286a0c99e632a46dd	wrench	2.4	4.0	0.7299007177352905
65d6a09286a0c99e632a46dd	an automatic wrench	8.0	10.8	0.839339554309845
65d6a09286a0c99e632a46dd	screwdriver	11.1	12.0	0.4521849453449249
65d6a09286a0c99e632a46dd	saw	15.8	16.6	0.7905347943305969
65d6a09286a0c99e632a46dd	a	18.4	18.7	0.8034388422966003
65d6a09286a0c99e632a46dd	lawn mower	18.7	19.2	0.8034388422966003
65d6a09286a0c99e632a46dd	blade	21.3	21.9	0.9279001355171204
65d6a09286a0c99e632a46dd	WD-40	26.0	27.2	0.9554559588432312
65d6a09286a0c99e632a46dd	lubricant	27.2	28.0	0.9554559588432312
65d6a09286a0c99e632a46dd	WD-40	28.0	28.8	0.9554559588432312
65d6a09286a0c99e632a46dd	nuts	31.2	32.1	0.6449037790298462
65d6a09286a0c99e632a46dd	bolts	32.1	33.0	0.6449037790298462
65d6a09286a0c99e632a46dd	hammer	56.1	56.6	0.7535542249679565
65d6a09286a0c99e632a46dd	tape measure	59.5	60.6	0.9817464351654053
65d6a09286a0c99e632a46dd	ladder	65.5	66.3	0.8230295777320862
65d6a09286a0c99e632a46dd	flashlight	70.1	71.4	0.9240256547927856
65d6a09286a0c99e632a46dd	knife	77.0	78.5	0.8247665762901306
65d6a09286a0c99e632a46dd	mallet	92.7	93.3	0.8640674948692322
65d6a09286a0c99e632a46dd	paintbrush	94.2	95.9	0.6257688999176025
65d6a09286a0c99e632a46dd	hatchet	108.7	109.3	0.8146870136260986
65d6a09286a0c99e632a46dd	pliers	114.3	115.4	0.9242658615112305
60a48adfe091e410f4eaba34	hammer	1.6	2.3	0.8951470255851746
60a48adfe091e410f4eaba34	drill	3.2	4.4	0.9541392922401428
60a48adfe091e410f4eaba34	chisel	8.3	9.0	0.5867083072662354
60a48adfe091e410f4eaba34	screwdriver	16.5	17.9	0.9242491126060486
60a48adfe091e410f4eaba34	drill bit	22.0	22.8	0.9743624925613403
60a48adfe091e410f4eaba34	Mallet	26.4	27.2	0.8151417374610901
60a48adfe091e410f4eaba34	shovel	27.2	28.5	0.8151417374610901
60a48adfe091e410f4eaba34	rifle	42.2	43.0	1.0
60a48adfe091e410f4eaba34	chainsaw	48.7	49.5	0.8867424726486206
60a48adfe091e410f4eaba34	axe	51.9	52.6	0.3958407938480377
60a48adfe091e410f4eaba34	air compressor	58.2	59.2	0.9800785779953003
60a48adfe091e410f4eaba34	trimmer	74.0	74.7	0.9812986850738525
60a48adfe091e410f4eaba34	edger	74.7	76.2	0.9812986850738525
60a48adfe091e410f4eaba34	hedge cutters	83.8	84.7	0.968346357345581
60a48adfe091e410f4eaba34	lawn mower	86.8	87.5	0.9109355807304382
63e802622f8052bd67d6c5f0	Hammer	0.5	1.9	0.9783785343170166
63e802622f8052bd67d6c5f0	screwdriver	1.9	3.2	0.9783785343170166
63e802622f8052bd67d6c5f0	drill	3.2	4.9	0.9783785343170166
