subj_id	Word	Start_time	End_time	Confidence
65c25cf77dca9d7ca7d9ebdb	carrots	1.2	4.2	0.9006763100624084
65c25cf77dca9d7ca7d9ebdb	celery	4.2	4.4	0.9006763100624084
65c25cf77dca9d7ca7d9ebdb	potatoes	4.4	5.7	0.9006763100624084
65c25cf77dca9d7ca7d9ebdb	squash	7.5	9.9	0.949307918548584
65c25cf77dca9d7ca7d9ebdb	pumpkin	9.9	10.8	0.949307918548584
65c25cf77dca9d7ca7d9ebdb	coriander	13.2	15.8	0.9298500418663025
65c25cf77dca9d7ca7d9ebdb	basil	17.4	17.8	0.3776360750198364
65c25cf77dca9d7ca7d9ebdb	bean sprouts	24.9	27.6	0.9290292859077454
65c25cf77dca9d7ca7d9ebdb	bok choy	29.4	30.4	0.7799763679504395
65c25cf77dca9d7ca7d9ebdb	red.pepper	33.1	35.0	0.757439136505127
65c25cf77dca9d7ca7d9ebdb	chile	35.0	36.5	0.757439136505127
65c25cf77dca9d7ca7d9ebdb	onions	48.8	49.7	0.9116599559783936
65c25cf77dca9d7ca7d9ebdb	leaks	49.7	50.4	0.9116599559783936
65c25cf77dca9d7ca7d9ebdb	radish	57.7	58.6	0.6146281361579895
65c25cf77dca9d7ca7d9ebdb	asparagus	60.4	61.5	1.0
65c25cf77dca9d7ca7d9ebdb	Spanish lettuce	64.9	66.5	0.8920459747314453
65c25cf77dca9d7ca7d9ebdb	brussel sprouts	68.9	70.1	0.8864978551864624
65c25cf77dca9d7ca7d9ebdb	cabbage	74.1	75.2	1.0
65c25cf77dca9d7ca7d9ebdb	peas	76.4	77.5	1.0
65c25cf77dca9d7ca7d9ebdb	mushrooms	78.8	79.8	0.8082053065299988
65c25cf77dca9d7ca7d9ebdb	corn	92.0	92.8	0.7874391674995422
65c25cf77dca9d7ca7d9ebdb	chives	112.8	113.9	0.9629250764846802
65c25cf77dca9d7ca7d9ebdb	shallots	117.5	118.5	0.8889966011047363
5d7ff4aa50fda7001a863736	broccoli	1.0	2.8	0.9811221957206726
5d7ff4aa50fda7001a863736	are	4.6	5.3	0.7867293357849121
5d7ff4aa50fda7001a863736	carrots	5.3	6.0	0.7867293357849121
5d7ff4aa50fda7001a863736	celery	6.0	6.8	0.7867293357849121
5d7ff4aa50fda7001a863736	cabbage	10.0	11.4	0.9038246870040894
5d7ff4aa50fda7001a863736	brussel sprouts	13.3	14.7	0.886559009552002
5d7ff4aa50fda7001a863736	asparagus	16.0	17.0	0.9876290559768677
5d7ff4aa50fda7001a863736	peas	18.8	19.8	0.6681100130081177
