SID,entry,evaluation,replacement
60a48adfe091e410f4eaba34,Construction,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,manager,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,retail sales,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,Tech,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,engineering,REPLACE,engineer
60a48adfe091e410f4eaba34,physical,REPLACE,physicist
60a48adfe091e410f4eaba34,therapist,FOUND,therapist
60a48adfe091e410f4eaba34,doctor,FOUND,doctor
60a48adfe091e410f4eaba34,occupational,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,therapist,FOUND,therapist
60a48adfe091e410f4eaba34,physician's,REPLACE,physicist
60a48adfe091e410f4eaba34,assistant,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,labor,REPLACE,actor
60a48adfe091e410f4eaba34,auditor,FOUND,auditor
60a48adfe091e410f4eaba34,auctioneer,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,real estate agent,FOUND,real estate agent
60a48adfe091e410f4eaba34,leasing,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,manager,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,office,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,worker,REPLACE,writer
60a48adfe091e410f4eaba34,veterinarian,FOUND,veterinarian
60a48adfe091e410f4eaba34,transporter,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,Rideshare,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,worker,REPLACE,writer
60a48adfe091e410f4eaba34,food,EXCLUDE,EXCLUDE
60a48adfe091e410f4eaba34,delivery,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,doctor,FOUND,doctor
65e862f844f1b7a803bb3c5a,accountants,REPLACE,accountant
65e862f844f1b7a803bb3c5a,teacher,FOUND,teacher
65e862f844f1b7a803bb3c5a,lectura,REPLACE,lecturer
65e862f844f1b7a803bb3c5a,dentist,FOUND,dentist
65e862f844f1b7a803bb3c5a,architect,FOUND,architect
65e862f844f1b7a803bb3c5a,Baker,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,electrician,FOUND,electrician
65e862f844f1b7a803bb3c5a,farmer,FOUND,farmer
65e862f844f1b7a803bb3c5a,bus driver,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,Carpenter,REPLACE,carpenter
65e862f844f1b7a803bb3c5a,astronoma,REPLACE,astronomer
65e862f844f1b7a803bb3c5a,bricklayer,FOUND,bricklayer
65e862f844f1b7a803bb3c5a,cleaner,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,Factory,REPLACE,actor
65e862f844f1b7a803bb3c5a,Walker,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,designer,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,engineer,FOUND,engineer
65e862f844f1b7a803bb3c5a,Bashar,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,Momin,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,lawyer,FOUND,lawyer
65e862f844f1b7a803bb3c5a,octo,REPLACE,doctor
65e862f844f1b7a803bb3c5a,firefighter,FOUND,firefighter
65e862f844f1b7a803bb3c5a,nurse,FOUND,nurse
65e862f844f1b7a803bb3c5a,feature,REPLACE,lecturer
65e862f844f1b7a803bb3c5a,scientist,FOUND,scientist
65e862f844f1b7a803bb3c5a,Jada,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,analyst,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,software,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,engineer,FOUND,engineer
65e862f844f1b7a803bb3c5a,software,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,analyst,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,train,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,conductor,REPLACE,doctor
65e862f844f1b7a803bb3c5a,American football,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,player,REPLACE,lawyer
65e862f844f1b7a803bb3c5a,basketball,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,player,REPLACE,lawyer
65e862f844f1b7a803bb3c5a,secretary,FOUND,secretary
65e862f844f1b7a803bb3c5a,policeman,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,repairman,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,businessman,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,reporter,REPLACE,recruiter
65e862f844f1b7a803bb3c5a,journalist,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,Postman,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,fotografa,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,Pilots,REPLACE,pilot
65e862f844f1b7a803bb3c5a,construction,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,worker,REPLACE,writer
65e862f844f1b7a803bb3c5a,lifeguard,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,housekeeper,REPLACE,zookeeper
65e862f844f1b7a803bb3c5a,gardener,FOUND,gardener
65e862f844f1b7a803bb3c5a,footballer,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,Spider-Man,EXCLUDE,EXCLUDE
65e862f844f1b7a803bb3c5a,flight,REPLACE,florist
65e862f844f1b7a803bb3c5a,attendants,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,occupations,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,nurse,FOUND,nurse
65d54b3b524fcafb543d1b23,plumber,FOUND,plumber
65d54b3b524fcafb543d1b23,surgeon,FOUND,surgeon
65d54b3b524fcafb543d1b23,doctor,FOUND,doctor
65d54b3b524fcafb543d1b23,nurse's,REPLACE,nurse
65d54b3b524fcafb543d1b23,assistant,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,assistant,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,I'm,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,Co,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,software,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,developer,REPLACE,web developer
65d54b3b524fcafb543d1b23,it,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,security,REPLACE,secretary
65d54b3b524fcafb543d1b23,counselor,FOUND,counselor
65d54b3b524fcafb543d1b23,office,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,assistant,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,receptionist,FOUND,receptionist
65d54b3b524fcafb543d1b23,massage,EXCLUDE,EXCLUDE
65d54b3b524fcafb543d1b23,therapist,FOUND,therapist
65d54b3b524fcafb543d1b23,physical,REPLACE,physicist
