Key_mic.keys,Key_mic.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,Key_consent1.keys,Key_consent1.rt,Key_consent2.keys,Key_consent2.rt,Ky_consent3.keys,Ky_consent3.rt,Key_ins1.keys,Key_ins1.rt,Key_ins2.keys,Key_ins2.rt,Key_ins3.keys,Key_ins3.rt,Key_ins4.keys,Key_ins4.rt,Key_ins5.keys,Key_ins5.rt,Mic_catpractice.clip,Key_ins6.keys,Key_ins6.rt,Key_ins7.keys,Key_ins7.rt,Mic_cattestresgis.clip,Key_ins9.keys,Key_ins9.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,items,Key_ins10.keys,Key_ins10.rt
space,7.3016,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,space,4.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,space,0.5181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,y,3.3587,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,,,space,3.3192,,,,,,,,,,,,,,,,,,,,,,,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,,,,,space,6.31,,,,,,,,,,,,,,,,,,,,,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,,,,,,,space,4.2333,,,,,,,,,,,,,,,,,,,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,,,,,,,,,space,10.6535,,,,,,,,,,,,,,,,,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,,,,,,,,,,,space,2.7457,,,,,,,,,,,,,,,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,,,,,,,,,,,,,recording_Mic_catpractice_ExperimentHandler_undefined,,,,,,,,,,,,,,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,,,,,,,,,,,,,,space,2.1061,,,,,,,,,,,,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,,,,,,,,,,,,,,,,space,5.1673,recording_Mic_cattestresgis_trials_0,space,29.4029,0,0,0,5,1,MEANS OF TRANSPORT,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,,,,,,,,,,,,,,,,space,3.09,recording_Mic_cattestresgis_trials_1,space,53.4029,0,1,1,11,1,MEDICAL CONDITIONS,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,,,,,,,,,,,,,,,,space,0.6411,recording_Mic_cattestresgis_trials_2,space,13.559,0,2,2,10,1,TOOLS,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,,,,,,,,,,,,,,,,space,3.3471,recording_Mic_cattestresgis_trials_3,space,3.3869,0,3,3,2,1,LIQUIDS,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,,,,,,,,,,,,,,,,space,0.5856,recording_Mic_cattestresgis_trials_4,space,0.8684,0,4,4,12,1,ANIMALS,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,,,,,,,,,,,,,,,,space,0.4778,recording_Mic_cattestresgis_trials_5,space,0.4833,0,5,5,9,1,HOLIDAYS,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,,,,,,,,,,,,,,,,space,0.5391,recording_Mic_cattestresgis_trials_6,space,56.4303,0,6,6,6,1,FRUITS,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,,,,,,,,,,,,,,,,space,0.7432,recording_Mic_cattestresgis_trials_7,space,31.6169,0,7,7,0,1,HOME APPLIANCES,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,,,,,,,,,,,,,,,,space,0.7331,recording_Mic_cattestresgis_trials_8,space,14.6422,0,8,8,1,1,HOBBIES,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,,,,,,,,,,,,,,,,space,0.6596,recording_Mic_cattestresgis_trials_9,space,10.4364,0,9,9,3,1,MUSICAL INSTRUMENTS,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,,,,,,,,,,,,,,,,space,0.4786,recording_Mic_cattestresgis_trials_10,space,42.4615,0,10,10,4,1,BODY PARTS,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,,,,,,,,,,,,,,,,space,0.389,recording_Mic_cattestresgis_trials_11,space,10.4213,0,11,11,7,1,VEGETABLES,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,,,,,,,,,,,,,,,,space,0.7843,recording_Mic_cattestresgis_trials_12,space,1.4153,0,12,12,8,1,OCCUPATIONS,,
,,5885f97f41da4500014d3645,65f44dd3b235c1d302e5157f,2024-03-15_08h34.19.318,semantic_fluency_fullA,2023.1.2,Win32,13.1061599,65f3cdd1f921363ba0fc2803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4777
