Key_mic.keys,Key_mic.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,Key_consent1.keys,Key_consent1.rt,Key_consent2.keys,Key_consent2.rt,Ky_consent3.keys,Ky_consent3.rt,Key_ins1.keys,Key_ins1.rt,Key_ins2.keys,Key_ins2.rt,Key_ins3.keys,Key_ins3.rt,Key_ins4.keys,Key_ins4.rt,Key_ins5.keys,Key_ins5.rt,Mic_catpractice.clip,Key_ins6.keys,Key_ins6.rt,Key_ins7.keys,Key_ins7.rt,Mic_cattestresgis.clip,Key_ins9.keys,Key_ins9.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,items,Key_ins10.keys,Key_ins10.rt
space,4.722,60da4f9aa1ced7efeecca18a,65f580f1b2471d94ad38e1c2,2024-03-16_07h23.19.450,semantic_fluency_fullB,2023.1.2,Win32,60.24096386,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60da4f9aa1ced7efeecca18a,65f580f1b2471d94ad38e1c2,2024-03-16_07h23.19.450,semantic_fluency_fullB,2023.1.2,Win32,60.24096386,65f3d2e8670f1e0d96344c7d,space,12.3551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60da4f9aa1ced7efeecca18a,65f580f1b2471d94ad38e1c2,2024-03-16_07h23.19.450,semantic_fluency_fullB,2023.1.2,Win32,60.24096386,65f3d2e8670f1e0d96344c7d,,,space,4.7497,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60da4f9aa1ced7efeecca18a,65f580f1b2471d94ad38e1c2,2024-03-16_07h23.19.450,semantic_fluency_fullB,2023.1.2,Win32,60.24096386,65f3d2e8670f1e0d96344c7d,,,,,y,4.1558,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60da4f9aa1ced7efeecca18a,65f580f1b2471d94ad38e1c2,2024-03-16_07h23.19.450,semantic_fluency_fullB,2023.1.2,Win32,60.24096386,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60da4f9aa1ced7efeecca18a,65f580f1b2471d94ad38e1c2,2024-03-16_07h23.19.450,semantic_fluency_fullB,2023.1.2,Win32,60.24096386,65f3d2e8670f1e0d96344c7d,,,,,,,space,5.4416,,,,,,,,,,,,,,,,,,,,,,,,
,,60da4f9aa1ced7efeecca18a,65f580f1b2471d94ad38e1c2,2024-03-16_07h23.19.450,semantic_fluency_fullB,2023.1.2,Win32,60.24096386,65f3d2e8670f1e0d96344c7d,,,,,,,,,space,6.8861,,,,,,,,,,,,,,,,,,,,,,
,,60da4f9aa1ced7efeecca18a,65f580f1b2471d94ad38e1c2,2024-03-16_07h23.19.450,semantic_fluency_fullB,2023.1.2,Win32,60.24096386,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,space,6.9472,,,,,,,,,,,,,,,,,,,,
,,60da4f9aa1ced7efeecca18a,65f580f1b2471d94ad38e1c2,2024-03-16_07h23.19.450,semantic_fluency_fullB,2023.1.2,Win32,60.24096386,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,space,9.2488,,,,,,,,,,,,,,,,,,
,,60da4f9aa1ced7efeecca18a,65f580f1b2471d94ad38e1c2,2024-03-16_07h23.19.450,semantic_fluency_fullB,2023.1.2,Win32,60.24096386,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,space,4.2274,,,,,,,,,,,,,,,,
,,60da4f9aa1ced7efeecca18a,65f580f1b2471d94ad38e1c2,2024-03-16_07h23.19.450,semantic_fluency_fullB,2023.1.2,Win32,60.24096386,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60da4f9aa1ced7efeecca18a,65f580f1b2471d94ad38e1c2,2024-03-16_07h23.19.450,semantic_fluency_fullB,2023.1.2,Win32,60.24096386,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,recording_Mic_catpractice_ExperimentHandler_undefined,,,,,,,,,,,,,,,
,,60da4f9aa1ced7efeecca18a,65f580f1b2471d94ad38e1c2,2024-03-16_07h23.19.450,semantic_fluency_fullB,2023.1.2,Win32,60.24096386,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,space,6.4656,,,,,,,,,,,,,
,,60da4f9aa1ced7efeecca18a,65f580f1b2471d94ad38e1c2,2024-03-16_07h23.19.450,semantic_fluency_fullB,2023.1.2,Win32,60.24096386,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,space,2.7075,recording_Mic_cattestresgis_trials_0,space,10.0528,0,0,0,7,1,TOYS,,
,,60da4f9aa1ced7efeecca18a,65f580f1b2471d94ad38e1c2,2024-03-16_07h23.19.450,semantic_fluency_fullB,2023.1.2,Win32,60.24096386,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,space,2.4467,recording_Mic_cattestresgis_trials_1,space,1.104,0,1,1,0,1,OFFICE SUPPLIES,,
,,60da4f9aa1ced7efeecca18a,65f580f1b2471d94ad38e1c2,2024-03-16_07h23.19.450,semantic_fluency_fullB,2023.1.2,Win32,60.24096386,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,space,1.8017,recording_Mic_cattestresgis_trials_2,space,3.4454,0,2,2,4,1,FOODS,,
,,60da4f9aa1ced7efeecca18a,65f580f1b2471d94ad38e1c2,2024-03-16_07h23.19.450,semantic_fluency_fullB,2023.1.2,Win32,60.24096386,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,space,6.3705,recording_Mic_cattestresgis_trials_3,space,205.2274,0,3,3,6,1,FLOWERS,,
,,60da4f9aa1ced7efeecca18a,65f580f1b2471d94ad38e1c2,2024-03-16_07h23.19.450,semantic_fluency_fullB,2023.1.2,Win32,60.24096386,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,space,4.2125,recording_Mic_cattestresgis_trials_4,space,4.3674,0,4,4,5,1,CLOTHING,,
