Key_mic.keys,Key_mic.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,Key_consent1.keys,Key_consent1.rt,Key_consent2.keys,Key_consent2.rt,Ky_consent3.keys,Ky_consent3.rt,Key_ins1.keys,Key_ins1.rt,Key_ins2.keys,Key_ins2.rt,Key_ins3.keys,Key_ins3.rt,Key_ins4.keys,Key_ins4.rt,Key_ins5.keys,Key_ins5.rt,Mic_catpractice.clip,Key_ins6.keys,Key_ins6.rt,Key_ins7.keys,Key_ins7.rt,Mic_cattestresgis.clip,Key_ins9.keys,Key_ins9.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,items,Key_ins10.keys,Key_ins10.rt
space,7.319700001,65d6af2397543519d98f2498,65f55ce74de9e42bafa03654,2024-03-16_01h50.28.727,semantic_fluency_fullB,2023.1.2,MacIntel,120.0048002,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65d6af2397543519d98f2498,65f55ce74de9e42bafa03654,2024-03-16_01h50.28.727,semantic_fluency_fullB,2023.1.2,MacIntel,120.0048002,65f3d2e8670f1e0d96344c7d,space,1.364099998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65d6af2397543519d98f2498,65f55ce74de9e42bafa03654,2024-03-16_01h50.28.727,semantic_fluency_fullB,2023.1.2,MacIntel,120.0048002,65f3d2e8670f1e0d96344c7d,,,space,0.5745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65d6af2397543519d98f2498,65f55ce74de9e42bafa03654,2024-03-16_01h50.28.727,semantic_fluency_fullB,2023.1.2,MacIntel,120.0048002,65f3d2e8670f1e0d96344c7d,,,,,y,5.596,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65d6af2397543519d98f2498,65f55ce74de9e42bafa03654,2024-03-16_01h50.28.727,semantic_fluency_fullB,2023.1.2,MacIntel,120.0048002,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65d6af2397543519d98f2498,65f55ce74de9e42bafa03654,2024-03-16_01h50.28.727,semantic_fluency_fullB,2023.1.2,MacIntel,120.0048002,65f3d2e8670f1e0d96344c7d,,,,,,,space,2.208800001,,,,,,,,,,,,,,,,,,,,,,,,
,,65d6af2397543519d98f2498,65f55ce74de9e42bafa03654,2024-03-16_01h50.28.727,semantic_fluency_fullB,2023.1.2,MacIntel,120.0048002,65f3d2e8670f1e0d96344c7d,,,,,,,,,space,12.5016,,,,,,,,,,,,,,,,,,,,,,
,,65d6af2397543519d98f2498,65f55ce74de9e42bafa03654,2024-03-16_01h50.28.727,semantic_fluency_fullB,2023.1.2,MacIntel,120.0048002,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,space,10.5637,,,,,,,,,,,,,,,,,,,,
,,65d6af2397543519d98f2498,65f55ce74de9e42bafa03654,2024-03-16_01h50.28.727,semantic_fluency_fullB,2023.1.2,MacIntel,120.0048002,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,space,9.296700001,,,,,,,,,,,,,,,,,,
,,65d6af2397543519d98f2498,65f55ce74de9e42bafa03654,2024-03-16_01h50.28.727,semantic_fluency_fullB,2023.1.2,MacIntel,120.0048002,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,space,8.425200001,,,,,,,,,,,,,,,,
