Key_mic.keys,Key_mic.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,Key_consent1.keys,Key_consent1.rt,Key_consent2.keys,Key_consent2.rt,Ky_consent3.keys,Ky_consent3.rt,Key_ins1.keys,Key_ins1.rt,Key_ins2.keys,Key_ins2.rt,Key_ins3.keys,Key_ins3.rt,Key_ins4.keys,Key_ins4.rt,Key_ins5.keys,Key_ins5.rt,Mic_catpractice.clip,Key_ins6.keys,Key_ins6.rt,Key_ins7.keys,Key_ins7.rt,Mic_cattestresgis.clip,Key_ins9.keys,Key_ins9.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,items,Key_ins10.keys,Key_ins10.rt
space,13.9999,65eeceee847314e8232923c9,65fa3435965f6e7ca179feb0,2024-03-20_24h59.08.591,semantic_fluency_fullB,2023.1.2,Win32,30.12048193,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65eeceee847314e8232923c9,65fa3435965f6e7ca179feb0,2024-03-20_24h59.08.591,semantic_fluency_fullB,2023.1.2,Win32,30.12048193,65f3d2e8670f1e0d96344c7d,space,2.5297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65eeceee847314e8232923c9,65fa3435965f6e7ca179feb0,2024-03-20_24h59.08.591,semantic_fluency_fullB,2023.1.2,Win32,30.12048193,65f3d2e8670f1e0d96344c7d,,,space,0.9017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65eeceee847314e8232923c9,65fa3435965f6e7ca179feb0,2024-03-20_24h59.08.591,semantic_fluency_fullB,2023.1.2,Win32,30.12048193,65f3d2e8670f1e0d96344c7d,,,,,y,5.0604,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65eeceee847314e8232923c9,65fa3435965f6e7ca179feb0,2024-03-20_24h59.08.591,semantic_fluency_fullB,2023.1.2,Win32,30.12048193,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65eeceee847314e8232923c9,65fa3435965f6e7ca179feb0,2024-03-20_24h59.08.591,semantic_fluency_fullB,2023.1.2,Win32,30.12048193,65f3d2e8670f1e0d96344c7d,,,,,,,space,3.8237,,,,,,,,,,,,,,,,,,,,,,,,
,,65eeceee847314e8232923c9,65fa3435965f6e7ca179feb0,2024-03-20_24h59.08.591,semantic_fluency_fullB,2023.1.2,Win32,30.12048193,65f3d2e8670f1e0d96344c7d,,,,,,,,,space,29.2272,,,,,,,,,,,,,,,,,,,,,,
,,65eeceee847314e8232923c9,65fa3435965f6e7ca179feb0,2024-03-20_24h59.08.591,semantic_fluency_fullB,2023.1.2,Win32,30.12048193,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,space,22.7218,,,,,,,,,,,,,,,,,,,,
,,65eeceee847314e8232923c9,65fa3435965f6e7ca179feb0,2024-03-20_24h59.08.591,semantic_fluency_fullB,2023.1.2,Win32,30.12048193,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,space,22.3746,,,,,,,,,,,,,,,,,,
,,65eeceee847314e8232923c9,65fa3435965f6e7ca179feb0,2024-03-20_24h59.08.591,semantic_fluency_fullB,2023.1.2,Win32,30.12048193,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,space,9.069,,,,,,,,,,,,,,,,
