Key_mic.keys,Key_mic.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,Key_consent1.keys,Key_consent1.rt,Key_consent2.keys,Key_consent2.rt,Ky_consent3.keys,Ky_consent3.rt,Key_ins1.keys,Key_ins1.rt,Key_ins2.keys,Key_ins2.rt,Key_ins3.keys,Key_ins3.rt,Key_ins4.keys,Key_ins4.rt,Key_ins5.keys,Key_ins5.rt,Mic_catpractice.clip,Key_ins6.keys,Key_ins6.rt,Key_ins7.keys,Key_ins7.rt,Mic_cattestresgis.clip,Key_ins9.keys,Key_ins9.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,items,Key_ins10.keys,Key_ins10.rt
space,6.2272,5c1942e200849900010afdcd,65f641921140c0938ca1eb09,2024-03-16_21h05.48.939,semantic_fluency_fullB,2023.1.2,Win32,59.88023952,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c1942e200849900010afdcd,65f641921140c0938ca1eb09,2024-03-16_21h05.48.939,semantic_fluency_fullB,2023.1.2,Win32,59.88023952,65f3d2e8670f1e0d96344c7d,space,1.1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c1942e200849900010afdcd,65f641921140c0938ca1eb09,2024-03-16_21h05.48.939,semantic_fluency_fullB,2023.1.2,Win32,59.88023952,65f3d2e8670f1e0d96344c7d,,,space,0.8224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c1942e200849900010afdcd,65f641921140c0938ca1eb09,2024-03-16_21h05.48.939,semantic_fluency_fullB,2023.1.2,Win32,59.88023952,65f3d2e8670f1e0d96344c7d,,,,,y,3.8602,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c1942e200849900010afdcd,65f641921140c0938ca1eb09,2024-03-16_21h05.48.939,semantic_fluency_fullB,2023.1.2,Win32,59.88023952,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c1942e200849900010afdcd,65f641921140c0938ca1eb09,2024-03-16_21h05.48.939,semantic_fluency_fullB,2023.1.2,Win32,59.88023952,65f3d2e8670f1e0d96344c7d,,,,,,,space,1.529,,,,,,,,,,,,,,,,,,,,,,,,
,,5c1942e200849900010afdcd,65f641921140c0938ca1eb09,2024-03-16_21h05.48.939,semantic_fluency_fullB,2023.1.2,Win32,59.88023952,65f3d2e8670f1e0d96344c7d,,,,,,,,,space,8.514,,,,,,,,,,,,,,,,,,,,,,
,,5c1942e200849900010afdcd,65f641921140c0938ca1eb09,2024-03-16_21h05.48.939,semantic_fluency_fullB,2023.1.2,Win32,59.88023952,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,space,3.8384,,,,,,,,,,,,,,,,,,,,
,,5c1942e200849900010afdcd,65f641921140c0938ca1eb09,2024-03-16_21h05.48.939,semantic_fluency_fullB,2023.1.2,Win32,59.88023952,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,space,10.4174,,,,,,,,,,,,,,,,,,
,,5c1942e200849900010afdcd,65f641921140c0938ca1eb09,2024-03-16_21h05.48.939,semantic_fluency_fullB,2023.1.2,Win32,59.88023952,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,space,1.7885,,,,,,,,,,,,,,,,
,,5c1942e200849900010afdcd,65f641921140c0938ca1eb09,2024-03-16_21h05.48.939,semantic_fluency_fullB,2023.1.2,Win32,59.88023952,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5c1942e200849900010afdcd,65f641921140c0938ca1eb09,2024-03-16_21h05.48.939,semantic_fluency_fullB,2023.1.2,Win32,59.88023952,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,recording_Mic_catpractice_ExperimentHandler_undefined,,,,,,,,,,,,,,,
,,5c1942e200849900010afdcd,65f641921140c0938ca1eb09,2024-03-16_21h05.48.939,semantic_fluency_fullB,2023.1.2,Win32,59.88023952,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,space,2.8809,,,,,,,,,,,,,
,,5c1942e200849900010afdcd,65f641921140c0938ca1eb09,2024-03-16_21h05.48.939,semantic_fluency_fullB,2023.1.2,Win32,59.88023952,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,space,2.424,recording_Mic_cattestresgis_trials_0,space,7.6581,0,0,0,0,1,OFFICE SUPPLIES,,
,,5c1942e200849900010afdcd,65f641921140c0938ca1eb09,2024-03-16_21h05.48.939,semantic_fluency_fullB,2023.1.2,Win32,59.88023952,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,space,1.9284,recording_Mic_cattestresgis_trials_1,space,21.1666,0,1,1,7,1,TOYS,,
,,5c1942e200849900010afdcd,65f641921140c0938ca1eb09,2024-03-16_21h05.48.939,semantic_fluency_fullB,2023.1.2,Win32,59.88023952,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,space,8.5759,recording_Mic_cattestresgis_trials_2,space,62.0826,0,2,2,12,1,NATURAL ENVIRONMENT,,
,,5c1942e200849900010afdcd,65f641921140c0938ca1eb09,2024-03-16_21h05.48.939,semantic_fluency_fullB,2023.1.2,Win32,59.88023952,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,space,3.0106,recording_Mic_cattestresgis_trials_3,space,2.2532,0,3,3,10,1,COUNTRIES,,
,,5c1942e200849900010afdcd,65f641921140c0938ca1eb09,2024-03-16_21h05.48.939,semantic_fluency_fullB,2023.1.2,Win32,59.88023952,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,space,1.6003,recording_Mic_cattestresgis_trials_4,space,18.8173,0,4,4,2,1,NON-FOOD ITEMS FOUND IN SUPERMARKET,,
,,5c1942e200849900010afdcd,65f641921140c0938ca1eb09,2024-03-16_21h05.48.939,semantic_fluency_fullB,2023.1.2,Win32,59.88023952,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,space,1.4731,recording_Mic_cattestresgis_trials_5,space,3.4712,0,5,5,8,1,SPORTS,,
,,5c1942e200849900010afdcd,65f641921140c0938ca1eb09,2024-03-16_21h05.48.939,semantic_fluency_fullB,2023.1.2,Win32,59.88023952,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,space,2.1967,recording_Mic_cattestresgis_trials_6,space,8.9474,0,6,6,5,1,CLOTHING,,
,,5c1942e200849900010afdcd,65f641921140c0938ca1eb09,2024-03-16_21h05.48.939,semantic_fluency_fullB,2023.1.2,Win32,59.88023952,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,space,1.9431,recording_Mic_cattestresgis_trials_7,space,0.6404,0,7,7,3,1,THINGS FOUND IN KITCHENS,,
,,5c1942e200849900010afdcd,65f641921140c0938ca1eb09,2024-03-16_21h05.48.939,semantic_fluency_fullB,2023.1.2,Win32,59.88023952,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,space,0.7737,recording_Mic_cattestresgis_trials_8,space,1.817,0,8,8,6,1,FLOWERS,,
,,5c1942e200849900010afdcd,65f641921140c0938ca1eb09,2024-03-16_21h05.48.939,semantic_fluency_fullB,2023.1.2,Win32,59.88023952,65f3d2e8670f1e0d96344c7d,,,,,,,,,,,,,,,,,,,,space,0.978,recording_Mic_cattestresgis_trials_9,space,0.7855,0,9,9,9,1,FURNITURE,,
