Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,#_of_Items
"('5885f97f41da4500014d3645', 0.4)",,,7.256114028,,1
"('5885f97f41da4500014d3645', 2.4)",,,7.013143358,,1
"('5885f97f41da4500014d3645', 4.0)",,,6.723957079,,1
"('5885f97f41da4500014d3645', 6.8)",,,4.320831473,,1
"('5885f97f41da4500014d3645', 9.5)",,,4.821605225,,1
"('5885f97f41da4500014d3645', 12.0)",,,5.023964037,,1
"('5885f97f41da4500014d3645', 12.7)",,,5.561689192,,1
"('5885f97f41da4500014d3645', 13.9)",,,6.363660295,,1
"('5885f97f41da4500014d3645', 17.3)",,,5.845170623,,1
"('5885f97f41da4500014d3645', 19.2)",,,6.706983738,,1
"('5885f97f41da4500014d3645', 20.6)",,,6.273193014,,1
"('5885f97f41da4500014d3645', 23.8)",,,6.247115609,,1
"('5885f97f41da4500014d3645', 24.6)",,,5.89522027,,1
"('5885f97f41da4500014d3645', 26.5)",,,4.814460694,,1
"('5885f97f41da4500014d3645', 29.8)",,,4.649130322,,1
"('5885f97f41da4500014d3645', 32.0)",,,4.736667354,,1
"('5885f97f41da4500014d3645', 35.3)",,,6.054603863,,1
"('5885f97f41da4500014d3645', 36.1)",,,6.338615042,,1
"('5885f97f41da4500014d3645', 43.1)",,,5.130533176,,1
"('5885f97f41da4500014d3645', 47.9)",,,5.492043421,,1
"('5885f97f41da4500014d3645', 48.7)",,,5.633869236,,1
"('5885f97f41da4500014d3645', 53.6)",,,6.710471006,,1
"('5885f97f41da4500014d3645', 55.9)",,,5.977754233,,1
"('5885f97f41da4500014d3645', 64.0)",,,6.776846046,,1
"('5885f97f41da4500014d3645', 65.0)",,,6.766463413,,1
"('5885f97f41da4500014d3645', 66.4)",,,4.21769446,,1
"('5885f97f41da4500014d3645', 74.3)",,,6.745548976,,1
"('5885f97f41da4500014d3645', 96.4)",,,5.720477669,,1
"('5885f97f41da4500014d3645', 101.1)",,,5.741384054,,1
"('5885f97f41da4500014d3645', 102.3)",,,5.714162885,,1
"('5885f97f41da4500014d3645', 106.0)",,,6.002633379,,1
"('5885f97f41da4500014d3645', 107.0)",,,5.26212584,,1
